onset	duration	staging
0	0	3
30	0	1
60	0	1
90	0	1
120	0	3
150	0	3
180	0	4
210	0	4
240	0	4
270	0	4
300	0	4
330	0	4
360	0	4
390	0	4
420	0	4
450	0	4
480	0	4
510	0	4
540	0	3
570	0	4
600	0	4
630	0	4
660	0	4
690	0	4
720	0	4
750	0	4
780	0	4
810	0	4
840	0	3
870	0	4
900	0	4
930	0	4
960	0	4
990	0	4
1020	0	4
1050	0	4
1080	0	4
1110	0	4
1140	0	4
1170	0	4
1200	0	4
1230	0	4
1260	0	4
1290	0	4
1320	0	4
1350	0	4
1380	0	4
1410	0	4
1440	0	4
1470	0	4
1500	0	4
1530	0	4
1560	0	3
1590	0	4
1620	0	4
1650	0	4
1680	0	4
1710	0	1
1740	0	1
1770	0	1
1800	0	1
1830	0	1
1860	0	1
1890	0	1
1920	0	1
1950	0	1
1980	0	1
2010	0	1
2040	0	1
2070	0	1
2100	0	1
2130	0	1
2160	0	1
2190	0	1
2220	0	1
2250	0	1
2280	0	1
2310	0	1
2340	0	1
2370	0	1
2400	0	1
2430	0	1
2460	0	1
2490	0	1
2520	0	1
2550	0	3
2580	0	3
2610	0	4
2640	0	3
2670	0	4
2700	0	4
2730	0	4
2760	0	4
2790	0	4
2820	0	4
2850	0	4
2880	0	4
2910	0	4
2940	0	4
2970	0	4
3000	0	4
3030	0	4
3060	0	4
3090	0	4
3120	0	4
3150	0	4
3180	0	4
3210	0	4
3240	0	4
3270	0	4
3300	0	4
3330	0	4
3360	0	4
3390	0	4
3420	0	4
3450	0	4
3480	0	4
3510	0	4
3540	0	4
3570	0	4
3600	0	4
3630	0	4
3660	0	4
3690	0	4
3720	0	4
3750	0	4
3780	0	4
3810	0	4
3840	0	4
3870	0	4
3900	0	4
3930	0	4
3960	0	4
3990	0	4
4020	0	4
4050	0	4
4080	0	4
4110	0	4
4140	0	4
4170	0	4
4200	0	4
4230	0	4
4260	0	4
4290	0	4
4320	0	4
4350	0	4
4380	0	4
4410	0	4
4440	0	5
4470	0	5
4500	0	5
4530	0	5
4560	0	5
4590	0	5
4620	0	5
4650	0	4
4680	0	4
4710	0	4
4740	0	5
4770	0	4
4800	0	4
4830	0	4
4860	0	5
4890	0	5
4920	0	5
4950	0	5
4980	0	5
5010	0	4
5040	0	3
5070	0	4
5100	0	4
5130	0	4
5160	0	4
5190	0	3
5220	0	4
5250	0	4
5280	0	4
5310	0	4
5340	0	4
5370	0	4
5400	0	4
5430	0	4
5460	0	4
5490	0	4
5520	0	4
5550	0	4
5580	0	4
5610	0	4
5640	0	4
5670	0	2
5700	0	2
5730	0	2
5760	0	2
5790	0	2
5820	0	2
5850	0	2
5880	0	2
5910	0	2
5940	0	2
5970	0	2
6000	0	2
6030	0	2
6060	0	2
6090	0	2
6120	0	2
6150	0	2
6180	0	2
6210	0	2
6240	0	2
6270	0	2
6300	0	2
6330	0	2
6360	0	2
6390	0	2
6420	0	2
6450	0	2
6480	0	2
6510	0	2
6540	0	2
6570	0	2
6600	0	2
6630	0	2
6660	0	1
6690	0	4
6720	0	3
6750	0	4
6780	0	2
6810	0	2
6840	0	2
6870	0	2
6900	0	2
6930	0	2
6960	0	2
6990	0	2
7020	0	2
7050	0	2
7080	0	2
7110	0	2
7140	0	2
7170	0	2
7200	0	2
7230	0	2
7260	0	2
7290	0	2
7320	0	2
7350	0	2
7380	0	2
7410	0	2
7440	0	2
7470	0	2
7500	0	2
7530	0	2
7560	0	2
7590	0	2
7620	0	2
7650	0	2
7680	0	2
7710	0	2
7740	0	2
7770	0	2
7800	0	2
7830	0	2
7860	0	2
7890	0	2
7920	0	2
7950	0	2
7980	0	2
8010	0	2
8040	0	2
8070	0	2
8100	0	2
8130	0	2
8160	0	2
8190	0	2
8220	0	2
8250	0	2
8280	0	2
8310	0	2
8340	0	2
8370	0	2
8400	0	2
8430	0	2
8460	0	2
8490	0	2
8520	0	2
8550	0	2
8580	0	2
8610	0	2
8640	0	2
8670	0	2
8700	0	2
8730	0	2
8760	0	2
8790	0	2
8820	0	2
8850	0	2
8880	0	2
8910	0	2
8940	0	2
8970	0	4
9000	0	4
9030	0	4
9060	0	4
9090	0	4
9120	0	4
9150	0	1
9180	0	4
9210	0	4
9240	0	3
9270	0	1
9300	0	4
9330	0	4
9360	0	4
9390	0	4
9420	0	4
9450	0	4
9480	0	4
9510	0	4
9540	0	4
9570	0	4
9600	0	4
9630	0	4
9660	0	4
9690	0	4
9720	0	4
9750	0	4
9780	0	4
9810	0	4
9840	0	4
9870	0	4
9900	0	4
9930	0	4
9960	0	4
9990	0	4
10020	0	4
10050	0	4
10080	0	4
10110	0	4
10140	0	4
10170	0	4
10200	0	4
10230	0	4
10260	0	4
10290	0	4
10320	0	4
10350	0	4
10380	0	4
10410	0	4
10440	0	4
10470	0	4
10500	0	4
10530	0	4
10560	0	4
10590	0	4
10620	0	4
10650	0	4
10680	0	4
10710	0	4
10740	0	4
10770	0	4
10800	0	4
10830	0	4
10860	0	4
10890	0	4
10920	0	5
10950	0	5
10980	0	4
11010	0	5
11040	0	4
11070	0	4
11100	0	4
11130	0	4
11160	0	4
11190	0	4
11220	0	4
11250	0	4
11280	0	4
11310	0	4
11340	0	4
11370	0	4
11400	0	4
11430	0	4
11460	0	4
11490	0	1
11520	0	4
11550	0	4
11580	0	4
11610	0	1
11640	0	3
11670	0	4
11700	0	4
11730	0	4
11760	0	3
11790	0	4
11820	0	4
11850	0	4
11880	0	4
11910	0	4
11940	0	4
11970	0	4
12000	0	4
12030	0	4
12060	0	3
12090	0	4
12120	0	4
12150	0	4
12180	0	4
12210	0	3
12240	0	4
12270	0	4
12300	0	4
12330	0	4
12360	0	4
12390	0	4
12420	0	4
12450	0	4
12480	0	4
12510	0	1
12540	0	3
12570	0	1
12600	0	3
12630	0	1
12660	0	3
12690	0	4
12720	0	1
12750	0	1
12780	0	1
12810	0	1
12840	0	1
12870	0	3
12900	0	4
12930	0	4
12960	0	4
12990	0	4
13020	0	4
13050	0	4
13080	0	3
13110	0	4
13140	0	4
13170	0	4
13200	0	4
13230	0	4
13260	0	4
13290	0	4
13320	0	4
13350	0	4
13380	0	4
13410	0	4
13440	0	4
13470	0	4
13500	0	4
13530	0	4
13560	0	4
13590	0	4
13620	0	4
13650	0	4
13680	0	4
13710	0	4
13740	0	4
13770	0	1
13800	0	1
13830	0	4
13860	0	4
13890	0	4
13920	0	4
13950	0	4
13980	0	4
14010	0	4
14040	0	4
14070	0	4
14100	0	4
14130	0	4
14160	0	4
14190	0	4
14220	0	4
14250	0	4
14280	0	4
14310	0	4
14340	0	4
14370	0	4
14400	0	4
14430	0	5
14460	0	5
14490	0	5
14520	0	4
14550	0	5
14580	0	5
14610	0	5
14640	0	5
14670	0	5
14700	0	5
14730	0	5
14760	0	5
14790	0	5
14820	0	5
14850	0	5
14880	0	5
14910	0	5
14940	0	5
14970	0	5
15000	0	5
15030	0	5
15060	0	5
15090	0	5
15120	0	5
15150	0	5
15180	0	4
15210	0	1
15240	0	3
15270	0	4
15300	0	3
15330	0	3
15360	0	3
15390	0	3
15420	0	3
15450	0	4
15480	0	4
15510	0	1
15540	0	4
15570	0	4
15600	0	4
15630	0	4
15660	0	4
15690	0	4
15720	0	4
15750	0	1
15780	0	1
15810	0	1
15840	0	1
15870	0	3
15900	0	1
15930	0	3
15960	0	1
15990	0	1
16020	0	1
16050	0	3
16080	0	4
16110	0	4
16140	0	4
16170	0	4
16200	0	4
16230	0	4
16260	0	4
16290	0	2
16320	0	2
16350	0	2
16380	0	2
16410	0	2
16440	0	2
16470	0	2
16500	0	2
16530	0	2
16560	0	2
16590	0	2
16620	0	2
16650	0	2
16680	0	2
16710	0	2
16740	0	2
16770	0	2
16800	0	2
16830	0	2
16860	0	2
16890	0	2
16920	0	2
16950	0	2
16980	0	2
17010	0	2
17040	0	2
17070	0	2
17100	0	2
17130	0	2
17160	0	2
17190	0	2
17220	0	2
17250	0	2
17280	0	2
17310	0	2
17340	0	2
17370	0	2
17400	0	2
17430	0	2
17460	0	2
17490	0	2
17520	0	2
17550	0	2
17580	0	2
17610	0	2
17640	0	2
17670	0	2
17700	0	2
17730	0	2
17760	0	2
17790	0	2
17820	0	2
17850	0	4
17880	0	4
17910	0	4
17940	0	4
17970	0	4
18000	0	4
18030	0	4
18060	0	3
18090	0	4
18120	0	4
18150	0	4
18180	0	4
18210	0	4
18240	0	3
18270	0	1
18300	0	1
18330	0	4
18360	0	4
18390	0	4
18420	0	4
18450	0	4
18480	0	4
18510	0	4
18540	0	4
18570	0	4
18600	0	3
18630	0	4
18660	0	4
18690	0	4
18720	0	4
18750	0	4
18780	0	3
18810	0	4
18840	0	4
18870	0	4
18900	0	4
18930	0	4
18960	0	4
18990	0	4
19020	0	4
19050	0	4
19080	0	4
19110	0	4
19140	0	4
19170	0	4
19200	0	4
19230	0	4
19260	0	4
19290	0	4
19320	0	4
19350	0	4
19380	0	4
19410	0	3
19440	0	4
19470	0	3
19500	0	4
19530	0	4
19560	0	4
19590	0	4
19620	0	4
19650	0	4
19680	0	4
19710	0	3
19740	0	4
19770	0	3
19800	0	1
19830	0	3
19860	0	4
19890	0	3
19920	0	4
19950	0	4
19980	0	4
20010	0	4
20040	0	4
20070	0	4
20100	0	4
20130	0	4
20160	0	4
20190	0	4
20220	0	4
20250	0	4
20280	0	4
20310	0	4
20340	0	4
20370	0	4
20400	0	4
20430	0	4
20460	0	4
20490	0	4
20520	0	4
20550	0	4
20580	0	4
20610	0	4
20640	0	4
20670	0	4
20700	0	4
20730	0	4
20760	0	4
20790	0	4
20820	0	4
20850	0	4
20880	0	4
20910	0	4
20940	0	4
20970	0	4
21000	0	4
21030	0	3
21060	0	4
21090	0	4
21120	0	4
21150	0	4
21180	0	4
21210	0	4
21240	0	4
21270	0	4
21300	0	1
21330	0	1
21360	0	1
21390	0	1
21420	0	1
21450	0	1
21480	0	1
21510	0	1
21540	0	1
21570	0	1
21600	0	1
21630	0	1
21660	0	1
21690	0	1
21720	0	1
21750	0	3
21780	0	3
21810	0	3
21840	0	3
21870	0	3
21900	0	4
21930	0	4
21960	0	4
21990	0	4
22020	0	4
22050	0	3
22080	0	4
22110	0	4
22140	0	4
22170	0	4
22200	0	3
22230	0	4
22260	0	4
22290	0	4
22320	0	4
22350	0	3
22380	0	4
22410	0	4
22440	0	4
22470	0	4
22500	0	4
22530	0	4
22560	0	4
22590	0	4
22620	0	3
22650	0	4
22680	0	3
22710	0	1
22740	0	4
22770	0	4
22800	0	2
22830	0	2
22860	0	2
22890	0	2
22920	0	2
22950	0	2
22980	0	2
23010	0	2
23040	0	2
23070	0	2
23100	0	2
23130	0	2
23160	0	2
23190	0	2
23220	0	2
23250	0	2
23280	0	2
23310	0	2
23340	0	2
23370	0	2
23400	0	2
23430	0	2
23460	0	2
23490	0	2
23520	0	2
23550	0	2
23580	0	2
23610	0	2
23640	0	2
23670	0	2
23700	0	2
23730	0	2
23760	0	2
23790	0	2
23820	0	2
23850	0	2
23880	0	2
23910	0	2
23940	0	2
23970	0	2
24000	0	2
24030	0	2
24060	0	2
24090	0	2
24120	0	2
24150	0	2
24180	0	2
24210	0	2
24240	0	2
24270	0	2
24300	0	2
24330	0	2
24360	0	2
24390	0	2
24420	0	2
24450	0	2
24480	0	2
24510	0	2
24540	0	2
24570	0	2
24600	0	2
24630	0	2
24660	0	2
24690	0	2
24720	0	2
24750	0	2
24780	0	2
24810	0	2
24840	0	2
24870	0	2
24900	0	4
24930	0	4
24960	0	4
24990	0	4
25020	0	4
25050	0	3
25080	0	4
25110	0	4
25140	0	4
25170	0	4
25200	0	4
25230	0	4
25260	0	4
25290	0	4
25320	0	4
25350	0	4
25380	0	4
25410	0	4
25440	0	4
25470	0	1
25500	0	1
25530	0	3
25560	0	3
25590	0	1
25620	0	1
25650	0	3
25680	0	4
25710	0	4
25740	0	4
25770	0	4
25800	0	4
25830	0	4
25860	0	4
25890	0	4
25920	0	4
25950	0	4
25980	0	4
26010	0	4
26040	0	4
26070	0	4
26100	0	4
26130	0	4
26160	0	4
26190	0	4
26220	0	4
26250	0	4
26280	0	4
26310	0	4
26340	0	4
26370	0	4
26400	0	4
26430	0	4
26460	0	4
26490	0	4
26520	0	4
26550	0	4
26580	0	4
26610	0	4
26640	0	4
26670	0	4
26700	0	4
26730	0	4
26760	0	4
26790	0	4
26820	0	4
26850	0	4
26880	0	4
26910	0	3
26940	0	4
26970	0	4
27000	0	4
27030	0	4
27060	0	4
27090	0	4
27120	0	4
27150	0	3
27180	0	4
27210	0	4
27240	0	4
27270	0	3
27300	0	4
27330	0	4
27360	0	3
27390	0	4
27420	0	4
27450	0	4
27480	0	4
27510	0	4
27540	0	4
27570	0	4
27600	0	4
27630	0	4
27660	0	4
27690	0	4
27720	0	4
27750	0	3
27780	0	4
27810	0	4
27840	0	4
27870	0	4
27900	0	4
27930	0	4
27960	0	4
27990	0	4
28020	0	4
28050	0	4
28080	0	4
28110	0	4
28140	0	4
28170	0	4
28200	0	4
28230	0	4
28260	0	1
28290	0	1
28320	0	1
28350	0	1
28380	0	1
28410	0	1
28440	0	1
28470	0	1
28500	0	1
28530	0	1
28560	0	1
28590	0	1
28620	0	1
28650	0	1
28680	0	1
28710	0	1
28740	0	1
28770	0	1
28800	0	1
28830	0	1
28860	0	1
28890	0	1
28920	0	1
28950	0	3
28980	0	1
29010	0	1
29040	0	3
29070	0	1
29100	0	1
29130	0	1
29160	0	1
29190	0	1
29220	0	3
29250	0	1
29280	0	3
29310	0	1
29340	0	1
29370	0	3
29400	0	3
29430	0	3
29460	0	4
29490	0	4
29520	0	4
29550	0	4
29580	0	3
29610	0	1
29640	0	1
29670	0	1
29700	0	1
29730	0	1
29760	0	1
29790	0	1
29820	0	1
29850	0	1
29880	0	1
29910	0	1
29940	0	1
29970	0	1
30000	0	1
30030	0	1
30060	0	1
30090	0	1
30120	0	1
30150	0	1
30180	0	1
30210	0	1
30240	0	1
30270	0	1
30300	0	1
30330	0	1
30360	0	1
30390	0	1
30420	0	1
30450	0	1
30480	0	1
30510	0	1
30540	0	1
30570	0	1
30600	0	1
30630	0	1
30660	0	1
30690	0	1
30720	0	3
30750	0	3
30780	0	4
30810	0	4
30840	0	4
30870	0	1
30900	0	1
30930	0	1
30960	0	3
30990	0	4
31020	0	4
31050	0	3
31080	0	4
31110	0	4
31140	0	4
31170	0	1
31200	0	3
31230	0	4
31260	0	4
31290	0	4
31320	0	4
31350	0	4
31380	0	4
31410	0	3
31440	0	4
31470	0	4
31500	0	3
31530	0	4
31560	0	1
31590	0	4
31620	0	4
31650	0	4
31680	0	4
31710	0	4
31740	0	3
31770	0	4
31800	0	4
31830	0	3
31860	0	4
31890	0	4
31920	0	4
31950	0	4
31980	0	4
32010	0	4
32040	0	4
32070	0	4
32100	0	3
32130	0	3
32160	0	4
32190	0	4
32220	0	4
32250	0	3
32280	0	1
32310	0	1
32340	0	1
32370	0	1
32400	0	1
32430	0	1
32460	0	1
32490	0	3
32520	0	3
32550	0	1
32580	0	1
32610	0	1
32640	0	3
32670	0	4
32700	0	4
32730	0	4
32760	0	4
32790	0	4
32820	0	4
32850	0	4
32880	0	4
32910	0	4
32940	0	4
32970	0	4
33000	0	4
33030	0	3
33060	0	3
33090	0	3
33120	0	1
33150	0	1
33180	0	1
33210	0	1
33240	0	1
33270	0	1
33300	0	1
33330	0	1
33360	0	3
33390	0	1
33420	0	3
33450	0	3
33480	0	4
33510	0	3
33540	0	4
33570	0	4
33600	0	4
33630	0	3
33660	0	1
33690	0	3
33720	0	4
33750	0	4
33780	0	4
33810	0	4
33840	0	4
33870	0	4
33900	0	3
33930	0	4
33960	0	4
33990	0	4
34020	0	4
34050	0	1
34080	0	1
34110	0	4
34140	0	4
34170	0	3
34200	0	4
34230	0	4
34260	0	4
34290	0	4
34320	0	4
34350	0	4
34380	0	4
34410	0	1
34440	0	3
34470	0	1
